Estado,< 1,1 a 4,5 a 9,10 a 14,15 a 19,20 a 24,25 a 44,45 a 49,50 a 59,60 a 64,65 >,Ign.,Total
Aguascalient es,0,0,0,0,0,23,876,610,1201,709,911,0,4330
Baja California,1,2,3,6,22,119,2119,1321,2711,1171,1651,11,9137
Baja California Sur,0,0,0,2,4,27,523,194,375,89,119,0,1333
Campeche,0,0,1,2,2,22,442,252,347,122,164,1,1355
Coahuila,0,3,1,10,5,74,2014,1404,2052,1133,1459,10,8165
Colima,0,0,0,0,3,9,249,153,268,107,134,0,923
Chiapas,2,4,1,7,27,64,1681,1105,2388,963,1652,4,7898
Chihuahua,0,2,3,11,31,115,2636,1499,3466,1211,2020,0,10994
Dist rit o Federal,0,0,2,12,41,163,3093,2259,4714,2297,3181,2,15764
Durango,0,0,0,0,0,27,887,691,1419,582,996,0,4602
Guanajuat o,0,1,0,3,24,91,2090,1213,2399,859,1515,5,8200
Guerrero,0,0,4,2,20,58,1659,1107,2152,908,1387,19,7316
Hidalgo,0,2,0,5,19,70,1242,844,1747,709,1139,5,5782
Jalisco,3,1,7,21,57,203,3515,2058,4961,2311,4267,23,17427
M ‚xico,1,0,1,4,160,401,7536,4915,10241,4373,6860,92,34584
M ichoac n,0,0,0,0,19,107,1313,939,1845,897,1642,19,6781
M orelos,0,1,2,12,6,67,960,747,1719,900,1323,3,5740
Nayarit,1,0,1,1,3,19,440,276,705,390,817,1,2654
Nuevo Le¢n,0,0,4,4,15,119,2383,1332,2700,980,1277,3,8817
Oaxaca,4,1,3,10,15,65,1829,1190,2273,919,1574,106,7989
Puebla,0,0,2,3,24,63,1844,1286,2829,1133,2196,3,9383
Quer‚t aro,0,0,0,0,10,31,910,463,965,293,545,0,3217
Quint ana Roo,0,0,0,0,3,19,556,279,488,169,191,1,1706
San Luis Pot os¡,0,0,0,0,10,66,1726,1063,2085,856,1260,0,7066
Sinaloa,0,0,5,6,30,78,2238,1395,3350,1330,2117,7,10556
Sonora,2,1,2,8,19,45,1520,782,1877,642,973,12,5883
Tabasco,0,0,2,4,10,54,1373,740,1489,540,807,6,5025
Tamaulipas,0,0,1,8,46,181,1978,1347,2313,1214,1420,20,8528
Tlaxcala,0,0,0,2,8,20,449,330,768,279,441,1,2298
Veracruz,0,1,2,14,23,147,3358,2237,4592,2205,3494,19,16092
Yucat  n,1,5,2,8,8,46,794,535,981,504,703,3,3590
Zacat ecas,0,0,0,0,1,29,590,481,822,270,436,4,2633
TOTAL GLOBAL,15,24,49,165,665,2622,54823,35047,72242,31065,48671,380,245768
