Estado,Tasa*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,"42,469",4 499,402,405,433,333,361,397,300,361,301,580,334,292
Baja California,"44,717",13 539,1116,984,947,883,1201,964,925,1493,1261,1670,1158,937
Baja California Sur,"38,427",1 981,137,182,153,158,195,162,118,187,150,248,178,113
Campeche,"27,908",2 200,195,238,166,139,167,149,199,214,175,203,196,159
Coahuila,"60,884",15674,1430,1232,1216,1194,1498,1225,1148,1697,1459,1472,1120,983
Colima,"33,933",2031,203,158,152,142,198,158,120,171,154,218,155,202
Chiapas,"23,656",10587,929,927,902,843,1011,804,758,1019,790,1004,888,712
Chihuahua,"37,519",1397,1413,1155,1089,1159,1182,1022,908,1123,1123,1094,904,925
Distrito Federal,"45,310",39942,3889,3435,3458,3122,3812,3312,3234,3787,2855,3886,2806,2346
Durango,"55,602",8674,1048,812,860,813,817,706,671,720,579,669,508,471
Guanajuato,"38,117",19445,1990,1584,1675,1551,2020,1502,1530,1743,1534,1837,1385,1094
Guerrero,"40,410",13213,1320,1071,1224,1105,1287,1135,1021,1352,1108,1176,835,579
Hidalgo,"25,286",6090,540,543,529,509,580,499,485,659,471,552,415,308
Jalisco,"51,111",35106,3391,2831,3104,2226,3173,2406,2735,3819,2935,3716,2794,1976
M‚xico,"30,877",45987,4539,3987,3744,3290,4509,3819,3565,4082,3626,4561,3299,2966
Michoac n,"25,813",10942,943,807,876,880,971,951,809,1087,944,1116,879,679
Morelos,"61,752",10719,1011,866,889,730,1030,866,795,1115,844,1017,842,714
Nayarit,"38,469",3862,370,355,324,331,359,336,291,396,291,375,230,204
Nuevo Le¢n,"33,495",14423,1317,1164,1282,1094,1502,1152,1045,1314,1221,1446,1052,834
Oaxaca,"31,267",11690,1135,1050,935,1031,1137,1003,932,1125,939,911,799,693
Puebla,"32,525",18186,1866,1483,1609,1480,1717,1478,1375,1630,1361,1683,1388,1116
Quer‚taro,"26,419",4304,357,306,335,333,420,384,306,455,382,438,296,292
Quintana Roo,"16,010",1809,158,109,175,136,162,169,131,190,181,188,126,84
San Luis Potos¡,"44,271",10709,1044,845,877,802,1132,847,855,1037,889,1025,764,592
Sinaloa,"48,218",13472,1386,995,856,852,1065,1169,1127,1494,1125,1457,1042,904
Sonora,"29,956",7563,807,623,548,593,734,530,511,723,635,788,578,493
Tabasco,"33,004",6908,692,502,567,488,597,513,557,782,598,755,561,296
Tamaulipas,"43,692",1471,1200,1049,993,1026,1118,1173,1129,1511,1257,1624,1130,861
Tlaxcala,"28,490",3102,338,281,274,240,248,249,222,305,252,295,207,191
Veracruz,"24,679",1853,1568,1416,1431,1307,1587,1435,1351,2007,1456,1821,1507,1167
Yucat n,"47,021",8609,860,740,649,628,896,644,630,887,600,873,624,578
Zacatecas,"27,314",3 873,322,309,334,291,342,318,321,397,335,387,280,237
TOTAL GLOBAL,"36,676",394 360,37 916,32 444,32 606,29709,37 028,31 477,30 104,38 882,31 831,39 085,29 280,23 998
