Estado,Tasa*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,"31,768",1 618,116,140,126,115,157,125,139,164,134,127,158,117
Baja California,"35,442",5 313,423,411,453,399,454,457,416,550,449,460,538,303
Baja California Sur,"33,185",857,78,80,56,68,80,87,54,84,68,66,66,70
Campeche,"33,022",1 298,114,145,91,87,135,82,109,174,93,66,137,65
Coahuila,"49,779",6 377,523,484,560,500,581,507,430,719,450,503,647,473
Colima,"32,046",948,78,80,88,100,94,69,75,74,68,82,82,58
Chiapas,"21,193",4 705,433,501,479,426,490,411,343,414,309,265,360,274
Chihuahua,"25,759",4 475,349,357,417,424,421,357,373,477,297,384,398,221
Distrito Federal,"37,574",16 129,1 265,1 329,1 442,1 314,1 692,1 285,1 306,1 481,1 248,1 316,1 502,949
Durango,"65,219",5 042,413,293,368,375,338,370,598,679,514,380,426,288
Guanajuato,"28,086",6 925,488,596,661,585,643,517,487,642,527,605,678,496
Guerrero,"31,263",5 060,455,392,421,423,516,395,437,503,354,400,480,284
Hidalgo,"19,609",2 304,187,205,201,211,235,181,188,239,188,151,190,128
Jalisco,"39,923",13 512,1 195,1 224,1 453,1 342,1 522,1 056,935,1 127,862,911,1 223,662
M‚xico,"23,569",17 275,1 470,1 515,1 602,1 431,1 802,1 349,1 273,1 550,1 225,1 304,1 728,1 026
Michoac n,"17,178",3 550,261,294,363,359,319,283,261,337,239,272,342,220
Morelos,"46,530",3 964,269,254,346,343,371,346,350,368,293,293,454,277
Nayarit,"33,820",1 704,121,139,126,155,182,125,102,186,116,172,155,125
Nuevo Le¢n,"25,190",5 380,433,453,556,458,572,445,405,504,421,360,473,300
Oaxaca,"22,106",4 038,340,303,341,372,389,329,295,395,315,294,420,245
Puebla,"29,053",7 936,651,650,750,740,823,609,591,702,524,634,767,495
Quer‚taro,"21,058",1 674,130,134,159,178,161,141,130,158,115,125,129,114
Quintana Roo,"10,427",588,57,39,49,56,55,47,52,53,37,54,56,33
San Luis Potos¡,"36,587",4 347,273,316,455,335,461,349,345,413,346,322,445,287
Sinaloa,"36,120",5 070,454,435,399,359,497,349,401,493,384,440,484,375
Sonora,"27,603",3 485,282,358,315,291,332,284,303,328,252,273,290,177
Tabasco,"26,259",2 729,175,220,263,272,378,264,233,329,188,195,141,71
Tamaulipas,"29,117",4 634,408,412,433,428,450,400,317,451,302,338,402,293
Tlaxcala,"25,433",1 354,97,76,108,106,140,112,104,187,108,90,131,95
Veracruz,"16,412",5 925,533,624,611,499,601,426,421,542,362,472,504,330
Yucat n,"32,841",2 963,251,233,320,204,264,247,209,243,228,272,278,214
Zacatecas,"20,863",1 442,158,125,157,126,123,117,109,128,106,102,127,64
TOTAL GLOBAL,"28,835",152 621,12 480,12 817,14 169,13 081,15 278,12 121,11 791,14 694,11 122,11 728,14 211,9 129
