Estado,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,2 3 5 7,91,89,150,115,122,255,245,294,337,219,193,247
Baja California,6 8 5 0,545,487,586,515,513,857,689,529,653,535,438,503
Baja California Sur,8 4 7,85,85,96,82,61,84,60,76,72,60,51,35
Campeche,9 0 7,50,74,78,90,78,85,73,63,67,62,53,134
Coahuila,5 6 0 4,612,537,643,571,475,556,404,249,468,394,323,372
Colima,8 0 7,59,61,83,54,65,80,79,63,62,54,63,84
Chiapas,4 7 2 9,359,367,519,427,379,436,331,349,436,386,386,354
Chihuahua,7 6 3 5,636,656,788,668,627,816,610,601,651,512,512,558
Distrito Federal,1 4 3 4 5,1 192,1 270,1 457,1 152,1 100,1 463,1 086,1 139,1 253,1 056,1 065,1 112
Durango,3 3 4 0,272,271,348,310,263,323,186,236,312,279,245,295
Guanajuato,6 5 7 8,577,577,721,628,513,690,444,448,541,521,445,473
Guerrero,5 1 1 8,410,450,447,418,365,543,408,438,447,494,343,355
Hidalgo,2 7 3 1,236,227,255,220,253,306,214,203,239,202,190,186
Jalisco,1 3 4 7 2,1 177,1 127,1 256,1 057,1 072,1 313,1 017,1 024,1 223,1 042,1 071,1 093
M ‚xico,2 3 7 5 1,2 051,1 873,2 570,2 027,1 785,2 627,1 794,1 678,2 046,1 807,1 799,1 694
M ichoac n,6 3 1 8,525,453,580,446,403,622,471,593,576,490,562,597
M orelos,4 1 6 9,335,369,438,365,294,426,310,301,414,264,327,326
Nayarit,1 5 2 0,104,119,148,123,138,181,89,119,107,123,122,147
Nuevo Le¢n,7 0 6 6,588,661,677,659,649,650,511,475,509,576,604,507
Oaxaca,5 0 1 1,383,423,486,396,422,514,406,436,437,353,388,367
Puebla,6 6 4 6,538,587,658,595,529,633,458,482,593,512,487,574
Quer‚taro,2 2 9 9,190,172,238,216,213,219,168,148,187,206,162,180
Quintana Roo,1 3 4 5,109,109,138,117,129,108,84,120,104,106,104,117
San Luis Potos¡,4 7 7 3,377,396,483,354,426,489,363,334,411,388,360,392
Sinaloa,5 7 2 5,509,409,525,538,445,588,430,484,548,481,399,369
Sonora,4 0 3 0,324,334,424,387,309,435,297,351,379,309,233,248
Tabasco,3 3 2 1,297,333,278,291,265,365,257,227,302,262,211,233
Tamaulipas,6 1 0 6,600,595,627,609,524,471,403,479,479,439,415,465
Tlaxcala,1 6 7 7,146,132,175,132,125,167,108,118,148,137,131,158
Veracruz,9 2 6 8,772,823,911,710,696,871,738,727,829,744,727,720
Yucat n,3 4 1 6,243,270,375,313,254,323,257,271,335,291,221,263
Zacatecas,1 7 4 6,122,148,159,171,148,148,151,130,165,134,121,149
TOTAL GLOBAL                                                  1 7 3 5 0 7           1 4 5 1 4          1 4 4 8 4        1 7 3 1 7        1 4 7 5 6       1 3 6 4 0       1 7 6 4 4        1 3 1 4 1        1 3 1 8 5       1 5 3 3 0      1 3 4 3 8      1 2 7 5 1      1 3 3 0 7,,,,,,,,,,,,,
