"Estado","SSA","IMSS.ORD","ISSSTE","IMSS.OP","DIF","PEMEX","SEDENA","SEDEMAR","OTRAS","Año","Sexo"
"Aguascalientes",1202,637,326,0,0,0,0,0,83,"2003","MUJER"
"Baja California",1444,4680,405,71,0,0,27,1,362,"2003","MUJER"
"Baja California Sur",360,812,81,0,0,0,10,8,0,"2003","MUJER"
"Campeche",881,369,126,69,38,4,1,34,54,"2003","MUJER"
"Coahuila",871,5547,2351,111,6,0,4,0,638,"2003","MUJER"
"Colima",523,307,11,0,0,0,18,3,8,"2003","MUJER"
"Chiapas",2740,2881,1281,633,0,2,15,17,184,"2003","MUJER"
"Chihuahua",1157,5495,561,109,0,0,0,0,1098,"2003","MUJER"
"Distrito Federal",10413,3902,9793,0,0,110,809,151,938,"2003","MUJER"
"Durango",1407,3585,1836,136,0,0,73,0,12,"2003","MUJER"
"Guanajuato",5699,4371,396,0,0,14,67,0,46,"2003","MUJER"
"Guerrero",4495,2549,2071,0,0,0,7,92,26,"2003","MUJER"
"Hidalgo",2097,690,248,378,0,25,2,0,35,"2003","MUJER"
"Jalisco",4542,7298,436,0,195,4,176,49,4667,"2003","MUJER"
"México",9137,7711,2932,0,1814,1,175,0,1782,"2003","MUJER"
"Michoacán",3064,1850,1236,570,0,0,0,13,0,"2003","MUJER"
"Morelos",1659,2277,1857,0,0,0,0,0,0,"2003","MUJER"
"Nayarit",779,508,948,77,94,0,20,1,9,"2003","MUJER"
"Nuevo León",2811,2911,462,0,0,6,21,0,2982,"2003","MUJER"
"Oaxaca",2396,678,957,659,6,62,514,46,44,"2003","MUJER"
"Puebla",2433,4642,1674,368,27,6,28,0,815,"2003","MUJER"
"Querétaro",1169,1925,38,0,0,0,0,0,18,"2003","MUJER"
"Quintana Roo",510,260,318,0,0,0,8,20,0,"2003","MUJER"
"San Luis Potosí",1650,3636,752,392,0,6,60,0,31,"2003","MUJER"
"Sinaloa",1835,2462,300,120,372,2,92,43,1052,"2003","MUJER"
"Sonora",2277,2787,4,0,0,0,195,29,489,"2003","MUJER"
"Tabasco",1924,1345,589,0,0,37,90,20,560,"2003","MUJER"
"Tamaulipas",2361,4703,910,189,0,65,29,28,83,"2003","MUJER"
"Tlaxcala",895,640,219,0,0,0,0,0,1,"2003","MUJER"
"Veracruz",5169,4761,405,923,128,315,141,68,2,"2003","MUJER"
"Yucatán",973,3488,314,327,50,0,0,0,160,"2003","MUJER"
"Zacatecas",1125,1048,264,294,106,0,1,0,1,"2003","MUJER"
"Aguascalientes",1411,751,194,0,0,0,0,0,63,"2004","MUJER"
"Baja California",1710,5098,351,19,0,0,19,0,259,"2004","MUJER"
"Baja California Sur",386,662,172,0,0,0,10,15,0,"2004","MUJER"
"Campeche",884,256,203,87,29,5,49,65,19,"2004","MUJER"
"Coahuila",1257,5489,2624,170,0,0,0,0,813,"2004","MUJER"
"Colima",515,487,27,0,2,0,10,4,12,"2004","MUJER"
"Chiapas",3148,2881,898,669,0,1,206,7,263,"2004","MUJER"
"Chihuahua",1149,6543,392,97,0,0,0,0,1050,"2004","MUJER"
"Distrito Federal",10061,4341,7546,0,85,126,951,59,1050,"2004","MUJER"
"Durango",1406,2735,1833,172,0,0,48,0,24,"2004","MUJER"
"Guanajuato",4023,7215,590,0,0,21,25,0,93,"2004","MUJER"
"Guerrero",4305,2344,2249,0,0,0,41,173,0,"2004","MUJER"
"Hidalgo",2013,699,266,304,0,19,14,0,149,"2004","MUJER"
"Jalisco",4952,10620,574,0,190,33,161,0,5650,"2004","MUJER"
"México",9408,8795,2930,0,2495,114,785,0,2694,"2004","MUJER"
"Michoacán",3071,1536,730,475,0,0,0,18,0,"2004","MUJER"
"Morelos",1845,2231,2175,0,0,0,0,0,0,"2004","MUJER"
"Nayarit",758,640,988,92,113,0,21,1,17,"2004","MUJER"
"Nuevo León",2924,2998,341,0,0,10,54,0,2245,"2004","MUJER"
"Oaxaca",2344,1065,1111,746,0,58,286,52,40,"2004","MUJER"
"Puebla",3601,5390,1657,391,31,2,16,0,992,"2004","MUJER"
"Querétaro",1495,1829,102,0,3,0,0,0,40,"2004","MUJER"
"Quintana Roo",506,206,220,0,0,0,19,2,0,"2004","MUJER"
"San Luis Potosí",2236,3335,580,464,0,1,161,0,17,"2004","MUJER"
"Sinaloa",2143,2956,225,75,453,18,168,48,1323,"2004","MUJER"
"Sonora",2528,3131,156,11,0,0,159,21,788,"2004","MUJER"
"Tabasco",2387,1323,175,0,0,71,89,6,366,"2004","MUJER"
"Tamaulipas",3150,4656,830,336,0,89,17,2,26,"2004","MUJER"
"Tlaxcala",859,711,225,0,0,0,32,0,2,"2004","MUJER"
"Veracruz",5408,3713,404,1166,185,276,110,34,0,"2004","MUJER"
"Yucatán",1388,3362,295,526,8,0,4,1,250,"2004","MUJER"
"Zacatecas",979,1332,192,292,58,0,10,0,5,"2004","MUJER"
"Aguascalientes",7,1,6,1,1,1,8,0,22,"2005","MUJER"
"Baja California",16,17,20,7,1,1,20,3,17,"2005","MUJER"
"Baja California Sur",24,23,32,1,1,1,32,0,1,"2005","MUJER"
"Campeche",1,18,7,26,11,8,4,41,10,"2005","MUJER"
"Coahuila",6,21,18,10,1,1,6,0,15,"2005","MUJER"
"Colima",31,24,10,1,1,1,15,10,11,"2005","MUJER"
"Chiapas",25,6,3,21,1,11,11,3,12,"2005","MUJER"
"Chihuahua",5,19,19,9,1,1,18,0,3,"2005","MUJER"
