"Estado","menosde1","de1a4","de5a9","de10a14","de15a19","de20a24","de25a44","de45a49","de50a59","de60a64","masde65","Ign.","Año","Sexo"
"Aguascalientes",0,0,0,0,0,36,547,327,641,286,407,4,"2003","MUJER"
"Baja California",0,0,0,2,23,99,1614,851,2047,920,1427,7,"2003","MUJER"
"Baja California Sur",0,0,0,0,3,16,319,174,340,130,289,0,"2003","MUJER"
"Campeche",0,0,1,2,2,30,479,227,413,169,250,3,"2003","MUJER"
"Coahuila",0,11,5,14,40,105,2148,1224,2800,1249,1923,9,"2003","MUJER"
"Colima",0,0,0,0,1,6,208,139,253,108,152,3,"2003","MUJER"
"Chiapas",5,6,8,6,20,57,1671,1157,2278,991,1534,20,"2003","MUJER"
"Chihuahua",1,4,8,11,36,130,1694,1037,2584,1091,1817,7,"2003","MUJER"
"Distrito Federal",0,0,0,2,13,166,4631,3737,7125,3875,6444,123,"2003","MUJER"
"Durango",0,0,0,0,0,39,1281,860,2059,989,1813,8,"2003","MUJER"
"Guanajuato",0,0,0,2,13,171,2307,1342,3021,1333,2386,18,"2003","MUJER"
"Guerrero",1,0,3,6,16,60,1969,1356,2557,1210,2055,7,"2003","MUJER"
"Hidalgo",0,0,0,2,13,25,830,460,994,376,775,0,"2003","MUJER"
"Jalisco",1,0,5,6,32,98,2992,2029,5122,2543,4362,177,"2003","MUJER"
"México",11,10,13,18,54,231,4915,3652,6467,3309,4733,139,"2003","MUJER"
"Michoacán",0,0,1,1,9,51,1300,865,1959,931,1609,7,"2003","MUJER"
"Morelos",0,0,0,0,2,11,974,913,1733,1003,1130,27,"2003","MUJER"
"Nayarit",0,0,0,4,11,24,400,340,698,335,621,3,"2003","MUJER"
"Nuevo León",10,15,11,17,35,124,1841,1336,2496,1292,1943,73,"2003","MUJER"
"Oaxaca",0,0,0,3,6,103,1329,959,1471,625,863,3,"2003","MUJER"
"Puebla",5,4,3,11,38,130,1746,1395,2673,1357,2518,113,"2003","MUJER"
"Querétaro",0,0,0,0,0,34,873,470,912,336,524,1,"2003","MUJER"
"Quintana Roo",0,0,0,0,0,8,331,218,289,122,148,0,"2003","MUJER"
"San Luis Potosí",0,1,1,5,8,69,1503,815,1934,825,1359,7,"2003","MUJER"
"Sinaloa",0,3,1,10,2,38,911,794,1842,1068,1594,15,"2003","MUJER"
"Sonora",2,3,1,8,11,61,1219,921,1725,705,1124,1,"2003","MUJER"
"Tabasco",2,2,4,3,16,56,1211,678,1291,502,774,26,"2003","MUJER"
"Tamaulipas",0,0,2,1,2,37,1975,1096,2509,1072,1666,8,"2003","MUJER"
"Tlaxcala",0,0,0,0,2,19,403,235,476,215,401,4,"2003","MUJER"
"Veracruz",0,0,0,1,8,68,2863,1749,3427,1456,2315,25,"2003","MUJER"
"Yucatán",0,1,0,1,4,8,1043,611,1624,746,1265,9,"2003","MUJER"
"Zacatecas",0,0,0,0,0,19,611,376,879,353,591,10,"2003","MUJER"
"Aguascalientes",0,0,0,0,0,15,625,369,671,281,405,53,"2004","MUJER"
"Baja California",0,2,7,11,32,110,1701,825,2271,986,1500,11,"2004","MUJER"
"Baja California Sur",0,0,0,1,6,14,309,175,349,160,229,2,"2004","MUJER"
"Campeche",0,0,0,0,3,27,436,228,485,198,220,0,"2004","MUJER"
"Coahuila",5,5,3,2,13,87,2205,1367,3107,1411,2135,13,"2004","MUJER"
"Colima",0,0,0,0,0,7,263,140,321,137,187,2,"2004","MUJER"
"Chiapas",4,6,4,3,30,62,1665,1233,2376,1123,1554,13,"2004","MUJER"
"Chihuahua",0,1,0,0,12,91,1838,986,2913,1240,2144,6,"2004","MUJER"
"Distrito Federal",0,0,1,2,40,154,4297,3336,6898,3422,6026,43,"2004","MUJER"
"Durango",0,0,0,0,0,27,1227,813,1857,902,1378,14,"2004","MUJER"
"Guanajuato",0,0,0,3,10,96,2494,1482,3564,1680,2631,7,"2004","MUJER"
"Guerrero",0,0,0,1,6,58,2041,1341,2596,1130,1880,59,"2004","MUJER"
"Hidalgo",0,0,0,0,2,20,788,551,914,460,728,1,"2004","MUJER"
"Jalisco",11,5,8,19,34,127,3842,2392,6421,3226,5858,237,"2004","MUJER"
"México",5,7,7,19,36,229,5521,3926,7722,4118,5566,65,"2004","MUJER"
"Michoacán",0,1,0,7,12,36,1107,719,1676,872,1393,7,"2004","MUJER"
"Morelos",0,0,1,0,7,18,1086,931,1777,920,1371,140,"2004","MUJER"
"Nayarit",0,0,0,0,6,9,398,308,774,390,742,3,"2004","MUJER"
"Nuevo León",5,10,6,14,26,126,1935,1167,2336,1115,1779,53,"2004","MUJER"
"Oaxaca",0,0,2,1,5,88,1402,942,1579,780,897,6,"2004","MUJER"
"Puebla",1,4,2,8,23,100,2006,1604,3374,1751,3155,52,"2004","MUJER"
"Querétaro",0,0,0,0,1,22,900,529,988,387,639,3,"2004","MUJER"
"Quintana Roo",0,0,0,0,1,21,319,180,240,101,90,1,"2004","MUJER"
"San Luis Potosí",0,0,0,0,3,58,1567,958,1934,864,1394,16,"2004","MUJER"
"Sinaloa",0,0,0,0,1,51,1093,1014,2269,1123,1851,7,"2004","MUJER"
"Sonora",0,0,0,0,15,58,1563,1021,2038,864,1229,6,"2004","MUJER"
"Tabasco",0,0,4,5,9,78,1266,691,1215,465,680,4,"2004","MUJER"
"Tamaulipas",16,42,20,22,17,67,2118,1164,2605,1119,1908,8,"2004","MUJER"
"Tlaxcala",0,0,0,1,4,15,443,260,502,242,362,0,"2004","MUJER"
"Veracruz",2,2,4,6,15,84,2830,1645,3373,1402,1917,16,"2004","MUJER"
"Yucatán",0,0,0,2,7,22,1156,718,1825,806,1294,4,"2004","MUJER"
"Zacatecas",0,0,0,0,0,36,707,352,826,355,590,2,"2004","MUJER"
"Aguascalientes",0,0,0,0,4,1,29,23,32,19,28,1,"2005","MUJER"
"Baja California",2,1,24,42,63,10,9,1,8,29,3,4,"2005","MUJER"
"Baja California Sur",0,1,0,0,4,5,21,15,19,10,18,0,"2005","MUJER"
"Campeche",1,1,4,3,3,17,28,22,27,12,20,1,"2005","MUJER"
"Coahuila",0,3,4,8,18,4,15,10,17,7,15,4,"2005","MUJER"
"Colima",0,0,0,0,0,1,18,14,23,11,21,1,"2005","MUJER"
"Chiapas",1,6,7,11,19,22,11,9,15,4,11,12,"2005","MUJER"
"Chihuahua",6,4,3,3,9,29,8,31,13,2,13,21,"2005","MUJER"
"Distrito Federal",0,0,0,1,27,13,22,17,25,15,26,10,"2005","MUJER"
"Durango",0,0,0,0,0,20,6,5,9,5,12,2,"2005","MUJER"
"Guanajuato",0,0,0,0,8,29,16,11,21,8,19,50,"2005","MUJER"
"Guerrero",0,0,1,1,12,23,13,8,16,1,16,15,"2005","MUJER"
"Hidalgo",0,0,1,0,3,12,31,26,1,22,33,0,"2005","MUJER"
"Jalisco",10,7,8,27,39,27,20,16,24,14,25,115,"2005","MUJER"
"México",1,5,9,17,42,14,25,25,28,20,27,26,"2005","MUJER"
"Michoacán",0,0,0,2,14,15,1,28,4,24,6,8,"2005","MUJER"
"Morelos",0,0,1,2,1,16,3,32,5,26,5,10,"2005","MUJER"
"Nayarit",0,0,0,1,7,8,23,21,31,18,32,0,"2005","MUJER"
"Nuevo León",1,2,3,7,22,30,10,6,12,31,10,61,"2005","MUJER"
"Oaxaca",0,0,0,0,2,3,8,7,7,28,2,10,"2005","MUJER"
"Puebla",1,1,0,10,28,2,14,12,22,9,22,30,"2005","MUJER"
